area	classification	locked_origin	locked_git_blob	purpose	device_evidence	production_action	sha256_status
input-native	REUSE_CANDIDATE	faa49f9b941db5394265d9b13413e4576ef4694f:miyoo-m1/m1_8/m1_8_input_jni.c	008b5457b595686bc6104a85ca975dca2a6a7881	raw /dev/input/js0 acquisition and RG35XX semantic bitmap	M1.7 raw js0 DEVICE-PASS + M1.8 input dispatch DEVICE-PASS	A3 may import/adapt at RG35XX adapter boundary only	SOURCE_SHA256_PENDING_MATERIALIZATION; NEW_BINARY_SHA256_PENDING_BUILD
input-jni-loader	REUSE_PATTERN	faa49f9b941db5394265d9b13413e4576ef4694f:miyoo-m1/m1_8/M1Input.java	b707bdc6aa26b86624543749cacbf2da6831be02	thin JNI loader	M1.8 DEVICE-PASS scoped	A3 may recreate thin Aweigit-compatible adapter; do not assume class/name compatibility	SOURCE_SHA256_PENDING_MATERIALIZATION
input-dispatch	DO_NOT_IMPORT_AS_IS	faa49f9b941db5394265d9b13413e4576ef4694f:miyoo-m1/m1_8/M1InputDispatch.java	cf21fa84920e8e83926016d49d6143725d718562	semantic controls to MIDP events	M1.8 DEVICE-PASS on old FreeJ2ME-Plus baseline	Recreate narrow glue against exact Aweigit MobilePlatform API; preserve canonical event ownership	SOURCE_SHA256_PENDING_MATERIALIZATION
input-pump	REFERENCE_ONLY	faa49f9b941db5394265d9b13413e4576ef4694f:miyoo-m1/m1_9/M19InputPump.java	8d4499e10d0d43e5163f456743d409d1bca8300c	bounded polling cadence	M1.9 device acceptance chain	A3 integrate only if canonical Aweigit frontend has no suitable tick; no duplicate raw owner	SOURCE_SHA256_PENDING_MATERIALIZATION
video-jni-api	REUSE_PATTERN	faa49f9b941db5394265d9b13413e4576ef4694f:miyoo-m1/m1_9/M19SdlPresenter.java	c3c99dd6070b1a7e1fcb4e248a95b930e81a36fb	thin Java-to-native presenter API	M1.9E SDL1 presenter DEVICE-PASS	A3 may recreate thin adapter interface	SOURCE_SHA256_PENDING_MATERIALIZATION
video-native	PARTIAL_REUSE_CANDIDATE	faa49f9b941db5394265d9b13413e4576ef4694f:miyoo-m1/m1_9/m1_9e_presenter_jni.c	112a72defcad48351ef42b12357cf5bb373f74ff	SDL1/fbcon physical 640x480 presentation	M1.6 display DEVICE-PASS + M1.9E presenter DEVICE-PASS	Reuse SDL1/fbcon init/present/shutdown hardware contract; remove dependency on logical framebuffer being 640x480; scaling/fit stays adapter-owned	SOURCE_SHA256_PENDING_MATERIALIZATION; NEW_BINARY_SHA256_PENDING_BUILD
lifecycle-launcher	REJECT_IMPORT	faa49f9b941db5394265d9b13413e4576ef4694f:miyoo-m1/m1_9/M19CanvasLifecycleLauncher.java	6ea99dfe110f9a197c98f146129762308ece9acc	old standalone launch/lifecycle	M1.9F Canvas E2E DEVICE-PASS on old patched baseline	Do not import: carries rg35xx.headless.* patch assumptions; A3 must use clean Aweigit lifecycle plus RG35XX bootstrap	SOURCE_SHA256_PENDING_MATERIALIZATION
font-resource	HOLD_REFERENCE_ONLY	DEVICE-PASS reconstruction record	N/A	font resource/backend glue	36-config font matrix DEVICE-PASS scoped; resource EXPERIMENTAL_NOT_GOLDEN	Do not promote resource to Golden; integrate only if A4/A5 requires it	HISTORICAL_SHA256_20c2e59d063282d4b6a0d612dea3cba2c0b5bd7fafe85a05729951bd38902db9
audio-media	HOLD	HISTORICAL_AUDIO_CHAIN	N/A	device audio backend	Historical worker/ring evidence only	No A2/A3 import; wait until SMOKE + CORE INTEGRATION pass	NOT_APPLICABLE
runtime-jamvm	PROTECTED_EXTERNAL	RG35XX protected runtime	N/A	JamVM L runtime	DEVICE-PASS protected identity	Preserve exact runtime; no rebuild/substitution in A2/A3	SHA256_eea1b97cebfaca67b69ed365e966d80cdac22d8ff245c7a556137cfb2898ea34
runtime-glibj	PROTECTED_EXTERNAL	RG35XX protected runtime	N/A	GNU Classpath glibj.zip	DEVICE-PASS protected identity	Preserve exact runtime; no byte patch/substitution in A2/A3	SHA256_d7abe888d2980329434c30f18c0eec124be1f02284bf9ed28e88d7242a1f2bea
